#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2023 05 15 17 30  1.2  1.0 13.3  0.7  7.7  SW WSW      SWELL  8.6 220
2023 05 15 17 00  1.3  1.1 13.3  0.7  8.3  SW WSW      SWELL  8.9 223
2023 05 15 16 30  1.4  1.2 14.3  0.7  7.4  SW WSW      SWELL  9.1 222
2023 05 15 16 00  1.5  1.3 14.3  0.7  6.9  SW WSW      SWELL  9.4 220
2023 05 15 15 30  1.4  1.1 14.3  0.8  9.1  SW WSW      SWELL  8.7 221
2023 05 15 15 00  1.4  1.2 15.4  0.8  9.5  SW  SW      SWELL  8.8 216
2023 05 15 14 30  1.5  1.3 14.3  0.8  8.3  SW WSW      SWELL  9.2 227
2023 05 15 14 00  1.6  1.3 13.3  0.8  7.1  SW   W      SWELL  9.2 227

#example of a 1 day period
2023 05 31 23 40  2.3  1.9 10.8  1.4  6.2  NW NNE      SWELL  6.3 313
2023 05 31 22 40  2.3  1.6 12.1  1.6  7.1 WNW   N      SWELL  6.2 292
2023 05 31 21 40  2.3  1.7 11.4  1.6  7.1 WNW NNE      STEEP  6.3  17
2023 05 31 20 40  2.3  1.4 11.4  1.7  7.1  NW NNE    AVERAGE  6.1 307
2023 05 31 19 40  2.2  1.6 14.8  1.5  7.1 SSE NNE      SWELL  6.3 165
2023 05 31 18 40  2.4  1.7 13.8  1.7  6.7  NW NNE      SWELL  6.3 305
2023 05 31 17 40  2.4  1.6 14.8  1.8  6.2  SE   N    AVERAGE  6.2 124
2023 05 31 16 40  2.2  1.4 10.0  1.8  7.1  NW NNE    AVERAGE  6.2 306
2023 05 31 15 40  2.3  1.6 11.4  1.6  7.1 WNW NNE      SWELL  6.5 298
2023 05 31 14 40  2.3  1.4 13.8  1.8  7.1   W   N    AVERAGE  6.1 268
2023 05 31 13 40  2.5  1.6 12.1  2.0  6.7 WNW   N    AVERAGE  6.4 285
2023 05 31 12 40  2.4  1.7 11.4  1.8  7.7  NW NNE    AVERAGE  6.6 305
2023 05 31 11 40  2.5  1.6 12.1  1.9  7.1 WNW   N    AVERAGE  6.4 301
2023 05 31 10 40  2.4  1.5 11.4  1.8  6.7 WNW NNE    AVERAGE  6.4 300
2023 05 31 09 40  2.3  1.6 10.0  1.6  7.7  NW NNE    AVERAGE  6.4 320
2023 05 31 08 40  2.5  1.7 14.8  1.8  7.1 WNW NNE    AVERAGE  6.7 290
2023 05 31 07 40  2.4  1.7 10.0  1.6  6.7  NW   N    AVERAGE  6.4 312
2023 05 31 06 40  2.2  1.6 14.8  1.5  4.8 SSW NNE      SWELL  6.4 207
2023 05 31 05 40  2.4  1.5 11.4  1.8  6.2 WNW   N    AVERAGE  6.3 296
2023 05 31 04 40  2.2  1.4 16.0  1.7  7.7 NNE   N      STEEP  6.3   5
2023 05 31 03 40  2.3  1.6 16.0  1.6  6.7 ESE   N      SWELL  6.3 117
2023 05 31 02 40  2.3  1.6 11.4  1.8  7.1  NW   N    AVERAGE  6.3 308
2023 05 31 01 40  2.4  1.7 16.0  1.7  7.1  SW NNE      SWELL  6.5 217
2023 05 31 00 40  2.3  1.7 11.4  1.6  6.7  NW   N      SWELL  6.4 304
